Rank,SW,LW,MildDip,SevereDip,Mult,Lookback,RallyThreshold,RallyMultiplier,FinalValue,TotalReturn,CAGR,MaxDrawdown,TotalTrades
1,15,325,2.5000,18.0000,0.1000,63,10.0000,0.5000,360604.5985,200.5038,5.6556,34.3896,520
2,15,325,2.0000,18.0000,1.0000,63,10.0000,0.1000,360579.9614,200.4833,5.6552,34.4041,312
3,15,325,2.0000,18.0000,1.5000,63,10.0000,0.1000,360579.9614,200.4833,5.6552,34.4041,312
4,15,325,2.0000,18.0000,2.0000,63,10.0000,0.1000,360579.9614,200.4833,5.6552,34.4041,312
5,15,325,2.0000,18.0000,0.7500,63,10.0000,0.1000,360578.0512,200.4817,5.6552,34.4027,370
6,15,325,2.0000,18.0000,0.5000,63,10.0000,0.1000,360576.1074,200.4801,5.6552,34.4013,375
7,15,325,1.5000,18.0000,2.0000,63,10.0000,0.1000,360571.8332,200.4765,5.6551,34.4041,298
8,15,325,1.5000,18.0000,1.5000,63,10.0000,0.1000,360571.8332,200.4765,5.6551,34.4041,298
9,15,325,1.5000,18.0000,1.0000,63,10.0000,0.1000,360571.8332,200.4765,5.6551,34.4041,298
10,15,325,2.5000,18.0000,0.1000,63,10.0000,0.1000,360566.9453,200.4725,5.6550,34.3904,667
11,15,325,3.0000,18.0000,0.1000,63,10.0000,0.5000,360566.3238,200.4719,5.6550,34.3978,450
12,15,325,3.5000,18.0000,0.5000,63,10.0000,0.5000,360565.8990,200.4716,5.6550,34.4012,247
13,15,325,1.5000,18.0000,0.7500,63,10.0000,0.1000,360565.2863,200.4711,5.6550,34.4024,371
14,15,325,2.0000,18.0000,0.1000,63,10.0000,0.5000,360564.7687,200.4706,5.6550,34.3878,574
15,15,325,2.5000,18.0000,0.5000,63,10.0000,0.1000,360563.3065,200.4694,5.6550,34.4021,385
16,15,325,3.5000,18.0000,0.1000,63,10.0000,0.5000,360562.9216,200.4691,5.6550,34.3996,386
17,15,325,4.0000,18.0000,0.5000,63,10.0000,0.5000,360559.3481,200.4661,5.6549,34.4007,240
18,15,325,1.0000,18.0000,0.7500,63,10.0000,0.1000,360559.0594,200.4659,5.6549,34.4018,357
19,15,325,1.0000,18.0000,0.5000,63,10.0000,0.1000,360558.5127,200.4654,5.6549,34.4005,368
20,15,325,1.0000,18.0000,1.5000,63,10.0000,0.1000,360558.3989,200.4653,5.6549,34.4034,269
21,15,325,1.0000,18.0000,1.0000,63,10.0000,0.1000,360558.3989,200.4653,5.6549,34.4034,269
22,15,325,1.0000,18.0000,2.0000,63,10.0000,0.1000,360558.3989,200.4653,5.6549,34.4034,269
23,15,325,2.0000,18.0000,1.0000,63,10.0000,0.5000,360558.1129,200.4651,5.6549,34.4028,216
24,15,325,2.5000,18.0000,1.0000,63,10.0000,0.5000,360558.1129,200.4651,5.6549,34.4028,216
25,15,325,2.0000,18.0000,2.0000,63,10.0000,0.5000,360558.1129,200.4651,5.6549,34.4028,216
26,15,325,2.0000,18.0000,1.5000,63,10.0000,0.5000,360558.1129,200.4651,5.6549,34.4028,216
27,15,325,2.5000,18.0000,1.5000,63,10.0000,0.5000,360558.1129,200.4651,5.6549,34.4028,216
28,15,325,2.5000,18.0000,2.0000,63,10.0000,0.5000,360558.1129,200.4651,5.6549,34.4028,216
29,15,325,2.5000,18.0000,0.7500,63,10.0000,0.1000,360557.3183,200.4644,5.6549,34.4031,382
30,15,325,3.5000,18.0000,0.7500,63,10.0000,0.5000,360556.2363,200.4635,5.6549,34.4017,247
31,15,325,2.5000,18.0000,0.1000,63,0.0000,0.5000,360554.9602,200.4625,5.6549,34.3899,480
32,15,325,2.5000,18.0000,0.1000,63,20.0000,0.5000,360554.9602,200.4625,5.6549,34.3899,480
33,15,325,2.5000,18.0000,0.1000,63,0.0000,0.1000,360554.9602,200.4625,5.6549,34.3899,480
34,15,325,2.5000,18.0000,0.1000,63,30.0000,0.1000,360554.9602,200.4625,5.6549,34.3899,480
35,15,325,2.5000,18.0000,0.1000,63,20.0000,0.1000,360554.9602,200.4625,5.6549,34.3899,480
36,15,325,2.5000,18.0000,0.1000,63,30.0000,0.5000,360554.9602,200.4625,5.6549,34.3899,480
37,15,325,4.0000,18.0000,0.7500,63,10.0000,0.5000,360554.8602,200.4624,5.6549,34.4014,240
